index,gender,person_id,neutral,smile,anger,left_light,EyeLengthRatio,EyeDistanceRatio,NoseRatio,LipSizeRatio,LipLengthRatio,EyeBrowLengthRatio,AggressiveRatio
0,1,0,1,0,0,0,-0.953239948155787,-1.8743767345609663,0.4657410315968444,0.9411526125938529,-0.5709400147007376,2.8604576606355,-0.24955357165555722
1,1,0,0,1,0,0,-0.09168065586943222,-1.6700618116224366,-0.5391632732536165,-0.15694489049859292,0.13494860121891836,1.7865906515354586,-0.07842732725565305
2,1,0,0,0,1,0,0.522945319923898,-1.3978963082578826,-0.11961605616137992,0.34534214335974506,-0.13889924260419234,2.4195921574789687,0.009484254932705417
3,1,0,0,0,0,1,-1.428805934245715,-0.9070174527668967,0.29712503643565,-0.16686032778376533,-1.3715683925537787,2.6834677962150764,-0.55694779380944
4,1,1,1,0,0,0,-0.22230738503835223,0.6655475196027674,-1.172176026214132,-0.2629281115107962,-1.0703414807462708,0.8980743526345493,0.3661376158118652
5,1,1,0,1,0,0,0.9589796406521656,0.9961450729869152,-1.1405384967558352,-0.24588911092868806,0.4908471986524551,0.6423640998478082,0.20588408799079896
6,1,1,0,0,1,0,0.9837896852348182,0.767693834592583,-1.2211370639038215,0.21843624298927397,-1.3999197741098406,0.7312220393668935,-0.5566084359357589
7,1,1,0,0,0,1,-1.4860598277701427,1.1136739673917995,-1.0310794319914922,-0.41304976511082586,-1.7588322840304595,0.2828669681045743,-0.9264076715612549
8,1,2,1,0,0,0,1.2221737566654944,0.15265784945285518,-0.5065727009524825,-0.04932754415641432,0.4489335646853523,0.010830248925755822,0.041576974412289504
9,1,2,0,1,0,0,1.3455299235121807,0.29288290459998656,0.31033978897797937,0.6985057605100506,1.1702915130405733,0.9351527131658425,-0.42720939962555643
10,1,2,0,0,1,0,1.337835284358073,0.4350849307791568,0.15654972843241513,1.1092832119750826,0.468220311452625,0.026250637918151066,-0.1736683188395369
11,1,2,0,0,0,1,-1.7371099929195133,0.8600225640102592,0.8087386811190707,1.3337828832297438,-0.6359805748379342,0.9494250571985481,-0.37849014641742273
12,1,3,1,0,0,0,1.1194670454858053,0.022416870173496074,-1.3811172975975083,3.4439462729750385,-0.5206298257858439,0.7078379472429391,0.13988374879810941
13,1,3,0,1,0,0,1.6602388523101228,-0.10053857226849473,0.029420074159070685,-0.9789191018507374,1.4273976476495134,-0.5913655183031548,-1.1108631986963404
14,1,3,0,0,1,0,0.6595557103400007,-0.15051144559568105,-0.3060588944833019,0.09367351291018731,-0.2761698160558876,0.9920052515864394,0.4032781611933885
15,1,3,0,0,0,1,-0.3616876995523539,0.058471022411970996,-0.3147515148499944,0.33122911063630645,-0.42640047614553744,0.424876907040389,0.6881999293074089
16,1,4,1,0,0,0,1.5319318934409967,0.6956838915091937,-1.9278179749127757,6.982490664781548,-0.5566225965471059,-0.5200725037015385,-0.8874056801357321
17,1,4,0,1,0,0,0.615723764819906,-0.1889627373368712,-0.9595649953837307,-0.6961308668234889,0.6072738302476597,-0.9804946979532354,-1.1769523620530915
18,1,4,0,0,1,0,0.5266039919574216,0.46068051310806396,-1.4672506375292669,1.4465363143271615,-0.4681696818743976,0.09551376565910602,-1.1268622231404608
19,1,4,0,0,0,1,-1.0894062543855447,1.975880479827574,-2.1351210630914057,0.8120443439121736,-1.3316692743579823,0.3338239524351076,-1.6411265453637651
20,1,5,1,0,0,0,0.492829873090299,-0.09171829632876471,-1.2679189281939036,1.0256572883827,0.32680119133162017,0.8567095146355939,-0.586812730738993
21,1,5,0,1,0,0,0.9584604951641361,-0.15634477633028096,-0.13207352522341265,-0.16424225723472116,1.7035436693439832,1.3969278148392859,0.2465718436186351
22,1,5,0,0,1,0,0.523106344685036,0.10910465186179226,-0.8512404296148234,-0.3706071887280472,-0.556452108974265,1.6530372076453168,-0.48235899645296515
23,1,5,0,0,0,1,-1.8839112839762366,-0.0019744689176079203,-0.7925450404930579,-0.06639031978918744,-0.5876447792698778,0.8046815893847615,-0.7445934841493567
24,1,6,1,0,0,0,1.5552629503780413,-0.21574683765842176,-0.8821075041242652,-0.3022423066682568,-0.0964961326891099,0.5616892293270306,-0.6036020697887376
25,1,6,0,1,0,0,1.0988872110259942,-0.16555366929551596,-0.05880161553522721,-0.5037835345428385,1.0590331201416787,-0.35798161393767786,-0.6135342306087547
26,1,6,0,0,1,0,0.3012235604005925,0.3567435420406671,-1.2299381795875572,-0.9522200983544677,-0.7414291414833982,0.7774583158043865,0.2494987600737809
27,1,6,0,0,0,1,-1.9038580648649412,0.31138960320106285,-0.4921003307502017,-1.1844094930631184,-0.7345081151099517,1.5514129835575883,0.5020210631744281
28,1,7,1,0,0,0,0.3109779803884629,0.6875156114031936,-0.17967327715436532,-0.1435928157011854,0.999718897370079,1.9576089714126785,0.627781870430793
29,1,7,0,1,0,0,2.3664464894948156,0.3763189010130419,1.3242480971796624,-1.0377810065290436,1.5668591598565,2.1128882165634866,-0.872752270479526
30,1,7,0,0,1,0,0.7171428769643786,0.8736731669860573,-0.07628389973835284,-0.28567329875941844,0.13652185984406023,2.7936184214477375,0.18015477217909956
31,1,7,0,0,0,1,-0.7755668618537089,1.4829239871876227,-0.10847376620417848,-0.42950690521660234,0.17127991349811078,3.0034484196540325,0.6376293364966207
32,1,8,1,0,0,0,-0.6679099141223902,-0.09613784186840085,-0.5063332957769097,-0.34993505579376055,-1.160816706881938,0.32739560552629754,-0.06821922267478092
33,1,8,0,1,0,0,0.7243285960231337,0.35336103254924583,-0.39795405721901767,-0.554377082356135,1.773827760308021,0.4574858975254433,-0.10205043353206178
34,1,8,0,0,1,0,0.9190739294917336,-0.5665558233993436,-0.5033558510082583,0.3287557105291194,-0.08687384584282339,2.012210289092874,-0.5543789740468209
